Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-APL(100)-019047-04-3,1.74,100.0,80.0,N
LP1Y-APL(100)-019048-01-1,6.29,0.0,0.0,N
LP1Y-APL(100)-019048-01-2,7.75,0.0,0.0,N
LP1Y-APL(100)-019048-02-1,9.85,0.0,0.0,N
LP1Y-APL(100)-019048-04-1,4.3,0.0,0.0,N
LP1Y-APL(100)-019048-04-2,1.46,0.0,0.0,N
LP1Y-APL(100)-019048-04-3,1.71,0.0,0.0,N
LP1Y-APL(100)-019049-01-1,9.38,0.0,0.0,N
LP1Y-APL(100)-019049-01-2,10.35,0.0,0.0,N
LP1Y-APL(100)-019049-02-1,4.66,0.0,0.0,N
LP1Y-APL(100)-019049-04-1,4.24,0.0,0.0,N
LP1Y-APL(100)-019049-04-2,1.51,0.0,0.0,N
LP1Y-APL(100)-019049-04-3,1.72,0.0,0.0,N
LP1Y-APL(100)-019071-02-1,17.56,100.0,80.0,N
LP1Y-APL(100)-019071-02-2,11.61,0.0,0.0,N
LP1Y-APL(100)-019072-15-1,1.36,100.0,100.0,Y
LP1Y-APL(100)-019072-15-2,0.79,100.0,100.0,Y
LP1Y-APL(100)-019072-15-3,3.69,100.0,100.0,Y
LP1Y-APL(100)-019072-17-1,4.72,100.0,100.0,Y
LP1Y-APL(100)-019072-17-2,5.74,100.0,100.0,Y
LP1Y-APL(100)-019072-17-3,0.72,100.0,100.0,Y
LP1Y-APL(100)-019072-17-4,10.98,100.0,100.0,Y
LP1Y-APL(100)-019072-17-5,11.92,100.0,100.0,Y
LP1Y-APL(100)-019072-21-1,1.94,100.0,100.0,Y
LP1Y-APL(100)-019072-21-2,3.83,100.0,100.0,Y
LP1Y-APL(100)-019072-21-3,1.17,100.0,100.0,Y
LP1Y-APL(100)-019072-21-4,1.24,100.0,100.0,Y
LP1Y-APL(100)-019077-02-1,40.0,0.0,0.0,N
LP1Y-APL(100)-019077-02-2,40.0,0.0,0.0,N
LP1Y-APL(100)-019077-02-3,29.67,7.000000000000001,5.6,N
LP1Y-APL(100)-019077-02-4,19.21,100.0,100.0,Y
LP1Y-APL(100)-019077-02-5,12.48,0.0,0.0,N
LP1Y-APL(100)-019077-03-1,4.5,0.0,0.0,N
LP1Y-APL(100)-019077-03-2,3.43,0.0,0.0,N
LP1Y-APL(100)-019077-03-3,0,0.0,0.0,N
LP1Y-APL(100)-019077-03-4,2.85,0.0,0.0,N
LP1Y-APL(100)-019077-04-1,3.14,0.0,0.0,N
LP1Y-APL(100)-019078-04-1,23.7,0.0,0.0,N
LP1Y-APL(100)-019078-04-2,7.8,0.0,0.0,N
LP1Y-APL(100)-019078-05-1,13.84,0.0,0.0,N
LP1Y-APL(100)-019078-06-1,2.01,0.0,0.0,N
LP1Y-APL(100)-019078-06-2,2.55,0.0,0.0,N
LP1Y-APL(100)-019079-02-1,6.3,0.0,0.0,N
LP1Y-APL(100)-019079-03-1,3.83,100.0,80.0,N
LP1Y-APL(100)-019079-03-2,15.04,67.0,53.6,N
LP1Y-APL(100)-019079-03-3,9.25,100.0,80.0,N
LP1Y-APL(100)-019079-05-1,5.37,0.0,0.0,N
LP1Y-APL(100)-019079-05-2,0.78,100.0,80.0,N
LP1Y-APL(100)-019079-05-3,0.91,100.0,80.0,N
LP1Y-APL(100)-019080-03-1,26.6,100.0,80.0,N
LP1Y-APL(100)-019080-03-2,19.58,80.0,64.0,N
LP1Y-APL(100)-019080-03-3,26.38,0.0,0.0,N
LP1Y-APL(100)-019080-03-4,10.07,0.0,0.0,N
LP1Y-APL(100)-019080-04-1,5.02,100.0,80.0,N
LP1Y-APL(100)-019080-04-2,1.11,100.0,80.0,N
LP1Y-APL(100)-019080-04-3,1.29,100.0,80.0,N
